query_id,qpp_score
id,-inf
187,-1.7105378463593783
270,-1.033959809331305
359,-1.0813855290029135
365,-1.095901393507004
400,-0.9230406108738342
404,-1.4979903242108032
480,-1.2534091020155074
517,-1.1559443121019597
568,-0.967445155161798
596,-1.672243929499945
715,-1.506680549298077
807,-1.1795520467455518
834,-1.8932435651130146
881,-0.8131601614627912
883,-1.3624774696798658
949,-1.5547067753882058
951,-0.034865894003832845
955,-1.2716654873723143
995,-1.3800638066475597
1018,-30.406804969175045
1180,-1.2837761463161372
1233,-1.2740268934795531
1328,-1.5290797499766655
1406,-1.7594338250593586
1417,-1.1431848482840832
1448,-1.2993730528278395
1479,-1.6674888180114817
1548,-1.5797241235845985
1558,-1.5387179078479767
1647,-1.3857883871676446
1806,-0.604652682387089
1821,-1.298964095567225
1877,-0.3114863568020092
1884,-1.1323033264366398
1890,-1.3632857185769307
2000,-1.371406309636099
2028,-1.028571895215311
2106,-1.2603896203730938
2153,-1.7230966828430234
2160,-1.706309732582934
2229,-1.808869897477824
2244,-1.2649638607115556
2448,-1.0000538781272996
2483,-0.7421862516269331
2758,-1.3259358795596174
2867,-1.1388789765942742
2872,-1.2573555347967997
